,train_accuracy,test_accuracy,train_f1_macro,test_f1_macro,train_mcc,test_mcc,model,rebalance_type
0,0.7580645161290323,0.5319148936170213,0.7249822487917726,0.4160322436184505,0.5741398057242006,0.15055795192033825,sgd,over_random
1,0.6612903225806451,0.5531914893617021,0.6301435406698565,0.4998485224049134,0.4433792825152309,0.287765497623883,sgd,over_random
2,0.6989247311827957,0.574468085106383,0.6450693572132853,0.527065527065527,0.4728750058239884,0.2953953612385531,sgd,over_random
3,0.786096256684492,0.4782608695652174,0.7633766988007901,0.38956502141086324,0.6546705026502561,0.09794467586635079,sgd,over_random
4,0.7219251336898396,0.6086956521739131,0.7020520866268966,0.5016526824307144,0.5317069889808586,0.28170533665279757,sgd,over_random
0,0.5752688172043011,0.44680851063829785,0.5228174350746891,0.3978835978835979,0.3278952895868329,0.15905987209282657,svc,over_random
1,0.5591397849462365,0.5957446808510638,0.4468007777717204,0.5374895572263992,0.24109110597759467,0.2892297463157034,svc,over_random
2,0.5483870967741935,0.46808510638297873,0.4152777777777778,0.39674051438757324,0.23877365772140552,0.14207278569337772,svc,over_random
3,0.5668449197860963,0.6086956521739131,0.47571824839076027,0.5040055729710902,0.2494626581616799,0.27579757860171594,svc,over_random
4,0.5401069518716578,0.5434782608695652,0.5052717982861964,0.42379862700228826,0.3031998724252708,0.2694382880795457,svc,over_random
0,0.5376344086021505,0.6170212765957447,0.47850555370840847,0.5681818181818182,0.2928637513115098,0.42185517976276043,knn,over_random
1,0.5860215053763441,0.44680851063829785,0.5411153061508682,0.3477633477633478,0.35820955511786384,0.10578245456517799,knn,over_random
2,0.6182795698924731,0.40425531914893614,0.5621915826016868,0.37776782604368814,0.4160867297225746,0.0989324668747258,knn,over_random
3,0.6149732620320856,0.5,0.5518011400364341,0.4101748226172189,0.3955693160324876,0.1554951880373614,knn,over_random
4,0.5989304812834224,0.5652173913043478,0.5568186489385157,0.45454545454545453,0.3906416760438738,0.31538795573137984,knn,over_random
0,0.8333333333333334,0.5106382978723404,0.820672537339204,0.4077723043240285,0.7160775114945127,0.17141390447787966,lgbm,over_random
1,0.8548387096774194,0.5106382978723404,0.8455555118815211,0.46694999839016066,0.7538181849825601,0.17141390447787966,lgbm,over_random
2,0.8064516129032258,0.5319148936170213,0.7805303585784754,0.5162681816986243,0.6799510032014281,0.27764004509258977,lgbm,over_random
3,0.8716577540106952,0.5,0.8563462063462063,0.43114909781576444,0.7826876742509301,0.1329340634665691,lgbm,over_random
4,0.9893048128342246,0.6521739130434783,0.9908812899638587,0.5074074074074074,0.9810717252425674,0.3570276707167624,lgbm,over_random
0,0.7204301075268817,0.5531914893617021,0.7069684138491478,0.4879535558780841,0.5216827670550742,0.2332411099125757,mlp,over_random
1,0.6021505376344086,0.6595744680851063,0.5300625322457897,0.607925407925408,0.33431700012151183,0.45587558202379874,mlp,over_random
2,0.7473118279569892,0.40425531914893614,0.7451858229301193,0.34603174603174597,0.5769871938445456,0.015955751689304336,mlp,over_random
3,0.7005347593582888,0.5217391304347826,0.6758467754918059,0.459096459096459,0.49704132645289295,0.16426948435639976,mlp,over_random
4,0.6844919786096256,0.6086956521739131,0.6728245344544157,0.4974916387959866,0.4500131060737565,0.29533247247253563,mlp,over_random
0,0.8602150537634409,0.574468085106383,0.8610191647280381,0.46980392156862744,0.7644715915444923,0.2738909061966847,rf,over_random
1,0.8494623655913979,0.5531914893617021,0.848157894736842,0.5190476190476191,0.7409463520065434,0.24906223028415697,rf,over_random
2,0.8548387096774194,0.425531914893617,0.8502189381499726,0.35711996581561795,0.7561889135483293,0.05901831860367507,rf,over_random
3,0.8502673796791443,0.6086956521739131,0.8354986133822093,0.48674985145573385,0.754886416063191,0.3199858226287214,rf,over_random
4,0.6631016042780749,0.5434782608695652,0.64726711823486,0.40977124183006536,0.47875282335748803,0.2381666779105523,rf,over_random
0,0.5806451612903226,0.40425531914893614,0.5556832694763729,0.3920454545454546,0.4065580507797165,0.14372026501766358,sgd,combine_smotenn
1,0.46774193548387094,0.425531914893617,0.47302143539798847,0.4263288288288288,0.30899002862257025,0.22804013859690045,sgd,combine_smotenn
2,0.4731182795698925,0.3617021276595745,0.461356975375667,0.35826395826395824,0.3112980189480839,0.14989629152858,sgd,combine_smotenn
3,0.5561497326203209,0.391304347826087,0.509754195645585,0.35501202886928623,0.3959887732474736,0.15916393249926036,sgd,combine_smotenn
4,0.5401069518716578,0.5217391304347826,0.5250415976197012,0.4490421455938698,0.35852495829405234,0.268652730605024,sgd,combine_smotenn
